"NationalityKey","NationalityName","NumCountryKey"
0,"ไม่ทราบ",
2,"โปรตุเกส","620"
3,"เนเธอร์แลนด์","528"
4,"เยอรมนี","276"
5,"ฝรั่งเศส","250"
6,"เดนมาร์ก","208"
7,"สวีเดน","752"
8,"สวิตเซอร์แลนด์","756"
9,"อิตาลี","380"
10,"นอร์เวย์","578"
11,"ออสเตรีย","040"
12,"ไอร์แลนด์","372"
13,"ฟินแลนด์","246"
14,"เบลเยียม","056"
15,"สเปน","724"
16,"สหพันธรัฐรัสเซีย","643"
17,"โปแลนด์","616"
18,"เช็ก","203"
19,"ฮังการี","348"
20,"กรีซ","300"
21,"ยูโกสลาเวีย (เซอร์เบียและมอนเตเนโกร)","038"
22,"ลักเซมเบิร์ก","442"
23,"นครรัฐวาติกัน","336"
24,"มอลตา","470"
25,"ลีซู",
26,"บัลแกเรีย","100"
27,"โรมาเนีย","642"
28,"ไซปรัส","196"
29,"สหรัฐอเมริกา","840"
30,"แคนาดา","124"
31,"เม็กซิโก","484"
32,"คิวบา","192"
33,"อาร์เจนตินา","032"
34,"บราซิล","076"
35,"ชิลี","152"
36,"อาข่า",
37,"โคลอมเบีย","170"
38,"ลั๊ว",
39,"เปรู","604"
40,"ปานามา","591"
41,"อุรุกวัย","858"
42,"เวเนซุเอลา (สาธารณรัฐโบลีวาร์)","862"
44,"จีน","156"
45,"อินเดีย","356"
46,"เวียดนาม","704"
47,"ญี่ปุ่น","392"
48,"พม่า, เมียนมา","104"
49,"ฟิลิปปินส์","608"
50,"มาเลเซีย","458"
51,"อินโดนีเซีย","360"
52,"ปากีสถาน","586"
53,"สาธารณรัฐเกาหลี (เกาหลีใต้)","410"
54,"สิงคโปร์","702"
55,"เนปาล","524"
56,"สาธารณรัฐประชาธิปไตยประชาชนลาว","418"
57,"กัมพูชา","116"
58,"ศรีลังกา","144"
59,"ซาอุดีอาระเบีย","682"
60,"อิสราเอล","376"
61,"เลบานอน","422"
62,"อิหร่าน (สาธารณรัฐอิสลาม)","364"
63,"ตุรกี","792"
64,"บังกลาเทศ","050"
65,"ถูกถอนสัญชาติ",
66,"สาธารณรัฐอาหรับซีเรีย","760"
67,"อิรัก","368"
68,"คูเวต","414"
69,"บรูไนดารุสซาลาม","096"
70,"แอฟริกาใต้","710"
71,"กะเหรี่ยง",
72,"ลาหู่",
73,"เคนยา","404"
74,"อียิปต์","818"
75,"เอธิโอเปีย","231"
76,"ไนจีเรีย","566"
77,"สหรัฐอาหรับเอมิเรตส์","784"
78,"กินี","324"
79,"ออสเตรเลีย","036"
80,"นิวซีแลนด์","554"
81,"ปาปัวนิวกินี","598"
82,"ม้ง",
83,"เมี่ยน",
86,"จีนฮ่อ","156"
87,"จีน (อดีต ทจช.)","156"
88,"ผู้พลัดถิ่นสัญชาติพม่า","104"
89,"ผู้อพยพเชื้อสายจากกัมพูชา","116"
90,"ลาว (ลาวอพยพ)","418"
91,"เขมรอพยพ","116"
96,"ไร้สัญชาติ",
97,"อื่นๆ",
98,"ไม่ได้สัญชาติไทย",
99,"ไทย","764"
100,"อัฟกานิสถาน","004"
101,"บาห์เรน","048"
102,"ภูฏาน","064"
103,"จอร์แดน","400"
104,"สาธารณรัฐประชาธิปไตยประชาชนเกาหลี (เกาหลีเหนือ)","408"
105,"มัลดีฟส์","462"
106,"มองโกเลีย","496"
107,"โอมาน","512"
108,"กาตาร์","634"
109,"เยเมน","887"
111,"ฟิจิ","242"
112,"คิริบาตี","296"
113,"นาอูรู","520"
114,"หมู่เกาะโซโลมอน","090"
115,"ตองกา","776"
116,"ตูวาลู","798"
117,"วานูอาตู","548"
118,"ซามัว","882"
119,"แอลเบเนีย","008"
120,"อันดอร์รา","020"
122,"ไอซ์แลนด์","352"
123,"ลิกเตนสไตน์","438"
124,"โมนาโก","492"
125,"ซานมารีโน","674"
126,"สหราชอาณาจักร บริเตนใหญ่ และไอร์แลนด์เหนือ","826"
127,"แอลจีเรีย","012"
128,"แองโกลา","024"
129,"เบนิน","204"
130,"บอตสวานา","072"
131,"บูร์กินาฟาโซ","854"
132,"บุรุนดี","108"
133,"แคเมอรูน","120"
134,"กาบูเวร์ดี","132"
135,"สาธารณรัฐแอฟริกากลาง","140"
136,"ชาด","148"
137,"คอโมโรส","174"
138,"คองโก","178"
139,"โกตดิวัวร์","384"
140,"จิบูตี","262"
141,"อิเควทอเรียลกินี","226"
142,"กาบอง","266"
143,"แกมเบีย","270"
144,"กานา","288"
145,"กินี-บิสเซา","624"
146,"เลโซโท","426"
147,"ไลบีเรีย","430"
148,"ลิเบีย","434"
149,"มาดากัสการ์","450"
150,"มาลาวี","454"
151,"มาลี","466"
152,"มอริเตเนีย","478"
153,"มอริเชียส","480"
154,"โมร็อกโก","504"
155,"โมซัมบิก","508"
156,"ไนเจอร์","562"
157,"รวันดา","646"
158,"เซาตูเมและปรินซิปี","678"
159,"เซเนกัล","686"
160,"เซเชลส์","690"
161,"เซียร์ราลีโอน","694"
162,"โซมาเลีย","706"
163,"ซูดาน","729"
164,"สวาซิแลนด์","748"
165,"สหสาธารณรัฐแทนซาเนีย","834"
166,"โตโก","768"
167,"ตูนิเซีย","788"
168,"ยูกันดา","800"
169,"สาธารณรัฐประชาธิปไตยคองโก","180"
170,"แซมเบีย","894"
171,"ซิมบับเว","716"
172,"แอนติกาและบาร์บูดา","028"
173,"บาฮามาส","044"
174,"บาร์เบโดส","052"
175,"เบลีซ","084"
176,"คอสตาริกา","188"
177,"โดมินิกา","212"
178,"สาธารณรัฐโดมินิกัน","214"
179,"เอลซัลวาดอร์","222"
180,"เกรเนดา","308"
181,"กัวเตมาลา","320"
182,"เฮติ","332"
183,"ฮอนดูรัส","340"
184,"จาเมกา","388"
185,"นิการากัว","558"
186,"เซนต์คิตส์และเนวิส","659"
187,"เซนต์ลูเซีย","662"
188,"เซนต์วินเซนต์และเกรนาดีนส์","670"
189,"ตรินิแดดและโตเบโก","780"
190,"โบลิเวีย (รัฐพหุชนชาติ)","068"
191,"เอกวาดอร์","218"
192,"กายอานา","328"
193,"ปารากวัย","600"
194,"ซูรินาเม","740"
195,"อาหรับ",
196,"คะฉิ่น",
197,"ว้า",
198,"ไทยใหญ่",
199,"ไทยลื้อ",
200,"ขมุ",
201,"ตองสู",
203,"ละว้า",
205,"ปะหร่อง",
206,"ถิ่น",
207,"ปะโอ",
208,"มอญ",
209,"มลาบรี",
212,"จีน (จีนฮ่ออิสระ)","156"
214,"จีน (จีนฮ่ออพยพ)","156"
216,"ยูเครน","804"
219,"ฮ่องกง","344"
220,"จีน(ไต้หวัน)","886"
221,"โครเอเชีย","191"
223,"คาซัคสถาน","398"
224,"อาร์เมเนีย","051"
225,"อาเซอร์ไบจาน","031"
226,"จอร์เจีย","268"
227,"คีร์กีซสถาน","417"
228,"ทาจิกิสถาน","762"
229,"อุซเบกิสถาน","860"
230,"หมู่เกาะมาร์แชลล์","584"
231,"ไมโครนีเซีย (สหพันธรัฐ)","583"
232,"ปาเลา","585"
233,"เบลารุส","112"
234,"บอสเนียและและเฮอร์เซโกวีนา","070"
235,"เติร์กเมนิสถาน","795"
236,"เอสโตเนีย","233"
237,"ลัตเวีย","428"
238,"ลิทัวเนีย","440"
239,"มาซิโดเนีย","807"
240,"สาธารณรัฐมอลโดวา","498"
241,"สโลวะเกีย","703"
242,"สโลวีเนีย","705"
243,"เอริเทรีย","232"
244,"นามิเบีย","516"
245,"โบลิเวีย (รัฐพหุชนชาติ)","068"
246,"หมู่เกาะคุก","184"
248,"มอญ(ผู้พลัดถิ่นสัญชาติพม่า)","104"
249,"ไทยใหญ่(ผู้พลัดถิ่นสัญชาติพม่า","104"
250,"เวียดนาม(ญวนอพยพ)","704"
251,"มาเลเชีย(อดีต จคม.)","458"
252,"จีน(อดีต จคม.)","156"
253,"สิงคโปร์(อดีต จคม.)","702"
254,"กะเหรี่ยง(ผู้หลบหนีเข้าเมือง)",
255,"มอญ(ผู้หลบหนีเข้าเมือง)",
256,"ไทยใหญ่(ผู้หลบหนีเข้าเมือง)",
257,"กัมพูชา(ผู้หลบหนีเข้าเมือง)","116"
258,"มอญ(ชุมชนบนพื้นที่สูง)",
259,"กะเหรี่ยง(ชุมชนบนพื้นที่สูง)",
260,"รัฐปาเลสไตน์","275"
261,"ติมอร์-เลสเต","626"
262,"สละสัญชาติไทย",
263,"ยูโกสลาเวีย (เซอร์เบียและมอนเตเนโกร)","038"
264,"กัมพูชา(แรงงาน)","116"
265,"เมียนมา(แรงงาน)","104"
266,"ลาว(แรงงาน)","418"
267,"เซอร์เบีย","688"
268,"มอนเตเนโกร","499"
270,"กาบูเวร์ดี","132"
271,"คอซอวอ","383"
272,"เซาท์ซูดาน","728"
273,"เมียนมา (กลุ่มเชื้อสายไทย)","104"
274,"กัมพูชา (กลุ่มเชื้อสายไทย)","116"
275,"ลาว (กลุ่มเชื้อสายไทย)","418"
276,"ไทยลื้อ (กลุ่มเชื้อสายไทย)","764"
277,"ชุมชนบนพื้นที่สูง (ชาวเขา 9 เผ่า กลุ่มเชื้อสายไทย)","764"
278,"ชนกลุ่มน้อยอื่นๆ (กลุ่มเชื้อสายไทย)","764"
279,"เด็กนักเรียนฯ (กลุ่มเชื้อสายไทย)","764"
280,"ไม่ได้สัญชาติไทย (กลุ่มเชื้อสายไทย)","764"
281,"บุคคลที่ไม่มีสถานะทางทะเบียน (กลุ่มเชื้อสายไทย)","764"
282,"เนปาล (เนปาลอพยพ)","524"
989,"บุคคลที่ไม่มีสถานะทางทะเบียน",
