AreaKey,ParentAreaKey,ThaiAreaName,EnglishAreaName,EndDate
"102404","1024","ทุ่งครุ","Thung Khru","2007-01-25"
"1099","10","สำนักทะเบียนกลาง","Central Registration Office","2013-01-07"
"105001","1050","บางบอน","Bang Bon","2022-01-22"
"104701","1047","บางนา","Bang Na","2022-01-22"
"102403","1024","บางมด","Bang Mot","2007-01-25"
"207201","2072","หนองปรือ","Nong Prue","2006-01-19"
"2072","20","ท้องถิ่นเทศบาลเมืองหนองปรือ","Nong Prue Town Municipality","2006-01-30"
"300602","3006","ท่าช้าง","Tha Chang","2012-01-11"
"300606","3006","หนองงูเหลือม","Nong Ngu Lueam","2012-01-11"
"300915","3009","มาบกราด","Map Krat","2008-01-13"
"3049","30","ท้องถิ่นเทศบาลตำบลโพธิ์กลาง","Pho Klang Sub-district Municipality","2007-01-06"
"300911","3009","สระพระ","Sa Phra","2008-01-13"
"300912","3009","ทัพรั้ง","Thap Rang","2008-01-13"
"300913","3009","หนองหอย","Nong Hoi","2008-01-13"
"300910","3009","พังเทียม","Phang Thiam","2008-01-13"
"406801","4068","บ้านเป็ด","Ban Pet","2006-01-30"
"4068","40","ท้องถิ่นเทศบาลตำบลบ้านเป็ด","Ban Pet Sub-district Municipality","2006-01-30"
"340306","3403","คำเขื่อนแก้ว","Kham Khuean Kaeo","2012-01-30"
"500306","5003","บ้านจันทร์","Ban Chan","2010-01-07"
"500310","5003","แจ่มหลวง","Chaem Luang","2010-01-07"
"500309","5003","แม่แดด","Mae Daet","2010-01-07"
"530306","5303","ท่าแฝก","Tha Faek","2015-01-11"
"650908","6509","โคกแหลม","Khok Laem","2012-01-14"
"7074","70","ท้องถิ่นเทศบาลตำบลบ้านฆ้อง","Ban Khong Sub-district Municipality","2008-01-22"
"907701","9077","สำนักขาม","Samnak Kham","2006-01-19"
"9077","90","ท้องถิ่นเทศบาลตำบลสำนักขาม","Samnak Kham Sub-district Municipality","2008-01-22"
"102205","1022","บางไผ่","Bang Phai","2013-01-18"
"102203","1022","บางแค","Bang Khae","2013-01-18"
"103204","1032","สวนหลวง","Suan Luang","2013-01-18"
"102702","1027","สะพานสูง","Saphan Sung","2013-01-18"
"103304","1033","คลองเตยเหนือ","Khlong Toei Nuea","2013-01-18"
"102703","1027","คันนายาว","Khan Na Yao","2013-01-18"
"102204","1022","บางแคเหนือ","Bang Khae Nuea","2013-01-18"
"103306","1033","พระโขนงเหนือ","Phra Khanong Nuea","2013-01-18"
"103305","1033","คลองตันเหนือ","Khlong Tan Nuea","2013-01-18"
"100599","1005","บางเขน","Bang Khen","2012-01-19"
"100899","1008","นางเลิ้ง","Nang Loeng","2012-01-19"
"100998","1009","คลองตัน","Khlong Tan","2012-01-19"
"100997","1009","พระโขนง","Phra Khanong","2012-01-19"
"501398","5013","ทุ่งปี้","Thung Pi","2012-01-19"
"510499","5104","ทุ่งหัวช้าง","Thung Hua Chang","2012-01-19"
"500998","5009","ศรีดงเย็น","Si Dong Yen","2012-01-19"
"501397","5013","แม่วิน","Mae Win","2012-01-19"
"501399","5013","บ้านกาด","Ban Kat","2012-01-19"
"500999","5009","ปงตำ","Pong Tam","2012-01-19"
"540298","5402","หนองม่วงไข่","Nong Muang Khai","2012-01-19"
"520699","5206","เมืองปาน","Mueang Pan","2012-01-19"
"530299","5302","ป่าคาย","Pa Khai","2012-01-19"
"520698","5206","บ้านขอ","Ban Kho","2012-01-19"
"520697","5206","ทุ่งกว๋าว","Thung Kwao","2012-01-19"
"300609","3006","พระพุทธ","Phra Phut","2012-01-01"
"301216","3012","โนนจาน","Non Chan","2012-01-01"
"301210","3012","บัวลาย","Bua Lai","2012-01-01"
"301209","3012","หนองหว้า","Nong Wa","2012-01-01"
"301715","3017","ไพล","Phlai","2012-01-01"
"301218","3012","สามเมือง","Sam Mueang","2012-01-01"
"301223","3012","โนนประดู่","Non Pradu","2012-01-01"
"301222","3012","เมืองพะไล","Mueang Phalai","2012-01-01"
"301711","3017","บ้านยาง","Ban Yang","2012-01-01"
"300608","3006","หนองยาง","Nong Yang","2012-01-01"
"300612","3006","ช้างทอง","Chang Thong","2012-01-01"
"301212","3012","โพนทอง","Phon Thong","2012-01-01"
"301211","3012","สีดา","Sida","2012-01-01"
"301707","3017","ขุย","Khui","2012-01-01"
"301221","3012","หนองตาดใหญ่","Nong Tat Yai","2012-01-01"
"301706","3017","ช่องแมว","Chong Maeo","2012-01-01"
"500614","5006","สมก๋าย","Som Kai","2012-01-01"
"431202","4312","ชุมภูพร","Chumphu Phon","2011-01-31"
"431103","4311","ดงบัง","Dong Bang","2011-01-31"
"430319","4303","โป่งเปือย","Pong Pueai","2011-01-31"
"431205","4312","นาสิงห์","Na Sing","2011-01-31"
"430404","4304","หนองหัวช้าง","Nong Hua Chang","2011-01-31"
"430301","4303","บึงกาฬ","Bueng Kan","2011-01-31"
"431001","4310","ปากคาด","Pak Khat","2011-01-31"
"430303","4303","โนนสมบูรณ์","Non Sombun","2011-01-31"
"430907","4309","ป่งไฮ","Pong Hai","2011-01-31"
"430902","4309","ซาง","Sang","2011-01-31"
"4306","43","โซ่พิสัย","So Phisai","2011-01-31"
"430306","4303","หนองเลิง","Nong Loeng","2011-01-31"
"431006","4310","นาดง","Na Dong","2011-01-31"
"430913","4309","โสกก่าม","Sok Kam","2011-01-31"
"430402","4304","ดอนหญ้านาง","Don Ya Nang","2011-01-31"
"430405","4304","วังชมภู","Wang Chomphu","2011-01-31"
"431004","4310","โนนศิลา","Non Sila","2011-01-31"
"430403","4304","พรเจริญ","Phon Charoen","2011-01-31"
"431302","4313","หนองเดิ่น","Nong Doen","2011-01-31"
"4304","43","พรเจริญ","Phon Charoen","2011-01-31"
"430901","4309","เซกา","Seka","2011-01-31"
"430406","4304","ป่าแฝก","Pa Faek","2011-01-31"
"430305","4303","หอคำ","Ho Kham","2011-01-31"
"431204","4312","นาสะแบง","Na Sabaeng","2011-01-31"
"431005","4310","สมสนุก","Som Sanuk","2011-01-31"
"430607","4306","เหล่าทอง","Lao Thong","2011-01-31"
"4309","43","เซกา","Seka","2011-01-31"
"430912","4309","หนองทุ่ม","Nong Thum","2011-01-31"
"4310","43","ปากคาด","Pak Khat","2011-01-31"
"431104","4311","ท่าดอกคำ","Tha Dok Kham","2011-01-31"
"430407","4304","ศรีสำราญ","Si Samran","2011-01-31"
"4312","43","ศรีวิไล","Si Wilai","2011-01-31"
"430605","4306","บัวตูม","Bua Tum","2011-01-31"
"430603","4306","ศรีชมภู","Si Chomphu","2011-01-31"
"431102","4311","โพธิ์หมากแข้ง","Pho Mak Khaeng","2011-01-31"
"430314","4303","ชัยพร","Chaiyaphon","2011-01-31"
"430318","4303","คำนาดี","Kham Na Di","2011-01-31"
"430908","4309","น้ำจั้น","Nam Chan","2011-01-31"
"431303","4313","โคกกว้าง","Khok Kwang","2011-01-31"
"4313","43","บุ่งคล้า","Bung Khla","2011-01-31"
"430307","4303","โคกก่อง","Khok Kong","2011-01-31"
"430311","4303","ไคสี","Khai Si","2011-01-31"
"430906","4309","บ้านต้อง","Ban Tong","2011-01-31"
"431203","4312","นาแสง","Na Saeng","2011-01-31"
"430310","4303","นาสวรรค์","Na Sawan","2011-01-31"
"430903","4309","ท่ากกแดง","Tha Kok Daeng","2011-01-31"
"430602","4306","หนองพันทา","Nong Phan Tha","2011-01-31"
"430606","4306","ถ้ำเจริญ","Tham Charoen","2011-01-31"
"430316","4303","วิศิษฐ์","Wisit","2011-01-31"
"430601","4306","โซ่","So","2011-01-31"
"431101","4311","บึงโขงหลง","Bueng Khong Long","2011-01-31"
"431201","4312","ศรีวิไล","Si Wilai","2011-01-31"
"431301","4313","บุ่งคล้า","Bung Khla","2011-01-31"
"430909","4309","ท่าสะอาด","Tha Sa-at","2011-01-31"
"4303","43","บึงกาฬ","Bueng Kan","2011-01-31"
"431002","4310","หนองยอง","Nong Yong","2011-01-31"
"431003","4310","นากั้ง","Na Kang","2011-01-31"
"430401","4304","ศรีชมภู","Si Chomphu","2011-01-31"
"430604","4306","คำแก้ว","Kham Kaeo","2011-01-31"
"430304","4303","หนองเข็ง","Nong Kheng","2011-01-31"
"4311","43","บึงโขงหลง","Bueng Khong Long","2011-01-31"
"341620","3416","หนองมะแซว","Nong Masaeo","2006-01-01"
"341613","3416","นาผือ","Na Phue","2006-01-01"
"341607","3416","ดงบัง","Dong Bang","2006-01-01"
"341605","3416","อำนาจ","Amnat","2006-01-01"
"341610","3416","เหล่าพรวน","Lao Phruan","2006-01-01"
"341616","3416","นาหมอม้า","Na Mo Ma","2006-01-01"
"341601","3416","บุ่ง","Bung","2006-01-01"
"341617","3416","โนนโพธิ์","Non Pho","2006-01-01"
"341621","3416","แมด","Maet","2006-01-01"
"341623","3416","โนนงาม","Non Ngam","2006-01-01"
"341618","3416","โนนหนามแท่ง","Non Nam Thaeng","2006-01-01"
"341608","3416","ไร่ขี","Rai Khi","2006-01-01"
"341622","3416","กุดปลาดุก","Kut Pla Duk","2006-01-01"
"341612","3416","คิ่มใหญ่","Khim Yai","2006-01-01"
"341611","3416","สร้างนกทา","Sang Nok Tha","2006-01-01"
"341615","3416","นาวัง","Na Wang","2006-01-01"
"341606","3416","เปือย","Pueai","2006-01-01"
"341602","3416","ไก่คำ","Kai Kham","2006-01-01"
"341614","3416","น้ำปลีก","Nam Plik","2006-01-01"
"341619","3416","ห้วยไร่","Huai Rai","2006-01-01"
"341609","3416","ปลาค้าว","Pla Khao","2006-01-01"
"341604","3416","ดงมะยาง","Dong Mayang","2006-01-01"
"341603","3416","นาจิก","Na Chik","2006-01-01"
"900107","9001","ชิงโค","Ching Kho","2006-01-01"
"900199","9001","ชิงโค","Ching Kho","2006-01-01"
"900189","9001","ทำนบ","Thamnop","2006-01-01"
"900191","9001","ม่วงงาม","Muang Ngam","2006-01-01"
"900196","9001","บางเขียด","Bang Khiat","2006-01-01"
"900190","9001","ชลเจริญ","Chon Charoen","2006-01-01"
"900195","9001","สทิงหม้อ","Sathing Mo","2006-01-01"
"900115","9001","หัวเขา","Hua Khao","2006-01-01"
"900111","9001","วัดขนุน","Wat Khanun","2006-01-01"
"900194","9001","วัดขนุน","Wat Khanun","2006-01-01"
"900116","9001","บางเขียด","Bang Khiat","2006-01-01"
"900192","9001","หัวเขา","Hua Khao","2006-01-01"
