"IndustryKey","IOSectorKey"
"01111",2
"01112",3
"01113",6
"01114",6
"01115",6
"01115",17
"01121",1
"01122",1
"01131",7
"01132",7
"01132",8
"01133",7
"01134",5
"01135",4
"01136",7
"01139",7
"01140",9
"01150",14
"01161",13
"01169",12
"01169",13
"01191",2
"01192",3
"01193",17
"01194",17
"01199",17
"01210",8
"01221",8
"01222",8
"01223",8
"01224",8
"01225",8
"01226",8
"01227",8
"01228",8
"01229",8
"01231",8
"01239",8
"01241",8
"01249",8
"01251",8
"01252",8
"01259",8
"01261",11
"01262",10
"01269",17
"01271",15
"01272",15
"01279",15
"01281",7
"01282",7
"01289",17
"01291",16
"01292",13
"01293",17
"01301",17
"01302",17
"01411",18
"01412",18
"01419",18
"01420",20
"01430",20
"01441",20
"01442",20
"01450",19
"01461",21
"01461",22
"01462",21
"01463",21
"01463",22
"01469",21
"01491",21
"01492",23
"01493",20
"01494",21
"01495",20
"01496",20
"01500",
"01611",24
"01612",24
"01619",
"01621",24
"01629",24
"01630",24
"01640",24
"01700",27
"02100",25
"02200",25
"02200",26
"02300",27
"02400",27
"03111",28
"03112",28
"03113",28
"03114",28
"03115",28
"03119",28
"03121",29
"03122",29
"03129",29
"03211",28
"03212",28
"03213",28
"03214",28
"03219",28
"03221",29
"03222",29
"03223",20
"03224",20
"03225",29
"03229",29
"05100",30
"05200",30
"06100",31
"06200",31
"07100",32
"07210",35
"07291",33
"07292",35
"07299",34
"07299",35
"07300",35
"08101",40
"08102",39
"08102",41
"08103",40
"08104",40
"08910",36
"08910",37
"08920",41
"08931",38
"08932",38
"08991",41
"08999",35
"08999",40
"08999",41
"09100",
"09900",
"10111",42
"10112",43
"10120",42
"10131",43
"10132",43
"10133",43
"10134",43
"10139",43
"10211",46
"10212",46
"10221",46
"10222",46
"10291",46
"10292",46
"10293",46
"10293",60
"10294",61
"10295",46
"10299",46
"10301",45
"10302",45
"10303",45
"10304",45
"10305",45
"10306",45
"10306",52
"10307",45
"10307",56
"10309",60
"10411",48
"10412",48
"10413",48
"10414",47
"10419",48
"10420",47
"10491",48
"10499",48
"10501",44
"10502",44
"10503",44
"10504",44
"10505",44
"10509",44
"10509",60
"10611",49
"10612",52
"10613",52
"10614",52
"10615",52
"10616",60
"10617",64
"10619",60
"10621",50
"10622",50
"10623",52
"10629",50
"10711",53
"10712",53
"10713",56
"10721",55
"10722",55
"10723",55
"10731",59
"10732",56
"10733",56
"10734",45
"10739",56
"10741",54
"10742",54
"10743",54
"10749",54
"10751",60
"10752",60
"10761",59
"10762",59
"10769",59
"10771",60
"10772",60
"10773",60
"10774",58
"10775",60
"10779",60
"10791",56
"10792",56
"10793",60
"10794",60
"10795",57
"10796",60
"10799",60
"10801",61
"10802",61
"11011",62
"11012",62
"11021",62
"11022",62
"11029",62
"11030",63
"11041",64
"11042",64
"11043",64
"11044",64
