"ProvinceKey","NesdcProvinceKey","NesdcRegionKey","ProvinceClass","Latitude","Longitude"
10,701,7,1,13.7249,100.6034
11,702,7,1,13.5985,100.7619
12,706,7,1,13.9646,100.3833
13,703,7,1,14.0966,100.6276
14,606,6,1,14.3925,100.5363
15,604,6,2,14.6212,100.3511
16,605,6,2,15.1988,100.9786
17,602,6,2,14.9207,100.3027
18,603,6,2,15.1598,100.0348
19,601,6,1,14.6584,100.9117
20,401,4,1,13.0932,101.2253
21,403,4,1,12.8734,101.4439
22,405,4,2,12.821,102.1738
23,404,4,2,12.2035,102.4186
24,402,4,1,13.5782,101.5642
25,407,4,2,14.0224,101.5734
26,406,4,2,14.2366,101.1628
27,408,4,2,13.7156,102.2775
30,109,1,1,14.966,102.0706
31,114,1,2,14.9638,103.0636
32,115,1,2,14.9046,103.6637
33,117,1,2,14.9566,104.3257
34,112,1,2,15.1558,105.1026
35,111,1,2,15.8189,104.2734
36,110,1,2,16.0318,101.8278
37,119,1,2,15.9103,104.7302
38,120,1,2,18.1758,103.6605
39,118,1,2,17.2263,102.307
40,101,1,1,16.3615,102.6764
41,102,1,2,17.4469,102.8325
42,103,1,2,17.4865,101.6439
43,104,1,2,17.9655,103.1681
44,116,1,2,16.0264,103.1766
45,113,1,2,15.9393,103.7573
46,108,1,2,16.6423,103.6746
47,107,1,2,17.4316,103.6574
48,106,1,2,17.407,104.6013
49,105,1,2,16.5417,104.4802
50,201,2,1,18.7004,98.6186
51,207,2,2,18.069,98.9398
52,202,2,2,18.3151,99.5407
53,203,2,2,17.7591,100.4466
54,206,2,2,18.2612,100.1642
55,208,2,2,18.8276,100.7959
56,209,2,2,19.2706,100.1549
57,205,2,2,19.7341,99.8857
58,204,2,2,18.7278,97.9293
60,210,2,2,15.6249,100.3811
61,213,2,2,15.3707,99.5595
62,212,2,2,16.3854,99.504
63,215,2,2,16.5288,98.8911
64,214,2,2,17.2525,99.7086
65,211,2,2,17.0334,100.5361
66,216,2,2,16.2863,100.343
67,217,2,2,16.2505,101.038
70,501,5,2,13.5547,99.6119
71,502,5,1,14.6947,99.0766
72,505,5,2,14.5719,100.0031
73,705,7,1,13.9141,100.0973
74,704,7,1,13.5734,100.2131
75,506,5,2,13.3785,99.9529
76,504,5,1,12.9526,99.615
77,503,5,1,11.8015,99.7248
80,307,3,2,8.5802,99.719
81,305,3,1,8.1653,99.0189
82,304,3,1,8.7393,98.419
83,301,3,1,7.9792,98.3354
84,302,3,1,9.0166,99.1137
85,303,3,2,10.0475,98.7677
86,306,3,2,10.3175,99.0359
90,308,3,1,6.8002,100.6157
91,309,3,2,6.8093,100.0213
92,311,3,2,7.5629,99.5565
93,313,3,2,7.4931,100.0239
94,314,3,2,6.7508,101.3217
95,310,3,2,6.1478,101.2366
96,312,3,2,6.1836,101.7328
