"IndustryKey","ParentIndustryKey","IndustryEnglishName"
"01",,"Agriculture"
"02",,"Non-agriculture"
"03",,"Not elsewhere classified"
"0101","01","Agriculture"
"0201","02","Industry"
"0202","02","Services"
"0301","03","Not elsewhere classified"
"010101","0101","Agriculture"
"020101","0201","Manufacturing"
"020102","0201","Construction"
"020103","0201","Mining and quarrying; Electricity, gas and water supply"
"020201","0202","Market services"
"020202","0202","Non-market services"
"030101","0301","Not elsewhere classified"
"A","010101","Agriculture, forestry and fishing"
"B","020103","Mining and quarrying"
"C","020101","Manufacturing"
"D","020103","Electricity, gas, steam and air conditioning supply"
"E","020103","Water supply; sewerage, waste management and remediation activities"
"F","020102","Construction"
"G","020201","Wholesale and retail trade and repair of motor vehicles and motorcycle"
"H","020201","Transportation and storage"
"I","020201","Accommodation and food service activities"
"J","020201","Information and communication"
"K","020201","Financial and insurance activities"
"L","020201","Real estate activities"
"M","020201","Professional, scientific and technical activities"
"N","020201","Administrative and support service activities"
"O","020202","Public administration and defence; compulsory social security"
"P","020202","Education"
"Q","020202","Human health and social work activities"
"R","020202","Arts, entertainment and recreation"
"S","020202","Other service activities"
"T","020202","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use"
"U","020202","Activities of extraterritorial organizations and bodies"
"X","030101","Not elsewhere classified"
