EducationLevelKey,ParentEducationLevelKey,ThaiEducationLevelName,EnglishEducationLevelName
1,,ระดับก่อนประถมศึกษา,Pre-primary Education
11,1,สามัญศึกษา,General Education
110,11,ผู้สำเร็จหลักสูตร,Graduated Level
111,11,อนุบาล  / เด็กเล็ก  / ปฐมวัย,Kindergarten
2,,ระดับประถมศึกษา,Primary Education
21,2,สามัญศึกษา,General Education
210,21,ผู้สำเร็จหลักสูตร,Graduated Level
211,21,ประถมศึกษาปีที่ 1  / เกรด 1,Primary level grade 1
212,21,ประถมศึกษาปีที่ 2  / เกรด 2  / การศึกษานอกโรงเรียน (กศน.) ระดับ 1,Primary level grade 2
213,21,ประถมศึกษาปีที่ 3 / เกรด 3,Primary level grade 3
214,21,ประถมศึกษาปีที่ 4 / เกรด 4 / การศึกษานอกโรงเรียน (กศน.) ระดับ 2,Primary level grade 4
215,21,ประถมศึกษาปีที่ 5 / เกรด 5,Primary level grade 5
216,21,ประถมศึกษาปีที่ 6 / เกรด 6 / การศึกษานอกโรงเรียน (กศน.) ระดับ 3,Primary level grade 6
219,21,ไม่ทราบชั้นเรียน,Unknown Level
24,2,การศึกษาทางศาสนา : พุทธศึกษา พระปริยัติธรรม แผนกธรรม,Religious Study : Buddhism
240,24,ผู้สำเร็จหลักสูตร,Graduated Level
241,24,นักธรรมตรี,First Level
242,24,นักธรรมโท,Second Level
243,24,นักธรรมเอก,Third Level
249,24,ไม่ทราบชั้นเรียน,Unknown Level
25,2,การศึกษาทางศาสนา : อิสลามศึกษา แผนกสามัญศึกษา,Religious Study : Islamic
250,25,ผู้สำเร็จหลักสูตร,Graduated Level
251,25,ประถมศึกษาปีที่ 1,Primary level grade 1
252,25,ประถมศึกษาปีที่ 2,Primary level grade 2
253,25,ประถมศึกษาปีที่ 3,Primary level grade 3
254,25,ประถมศึกษาปีที่ 4,Primary level grade 4
255,25,ประถมศึกษาปีที่ 5,Primary level grade 5
256,25,ประถมศึกษาปีที่ 6,Primary level grade 6
259,25,ไม่ทราบชั้นเรียน,Unknown Level
3,,ระดับมัธยมศึกษาตอนต้น,Lower Secondary Education
31,3,สามัญศึกษา,General Education
310,31,ผู้สำเร็จหลักสูตร,Graduated Level
311,31,มัธยมศึกษาปีที่ 1 / เกรด 7 / นาฎศิลป์ชั้นปีที่ 1,"Lower-secondary Level, first year"
312,31,มัธยมศึกษาปีที่ 2 / เกรด 8 / นาฎศิลป์ชั้นปีที่ 2,"Lower-secondary Level, second year"
313,31,มัธยมศึกษาปีที่ 3 / เกรด 9 / นาฎศิลป์ชั้นปีที่ 3 /  การศึกษานอกโรงเรียน (กศน.) ระดับ 4 ,"Lower-secondary Level, third year"
319,31,ไม่ทราบชั้นเรียน,Unknown Level
32,3,อาชีวศึกษา,Lower-vocational Education
320,32,ผู้สำเร็จหลักสูตร,Graduated Level
321,32,ดุริยางค์ทหารบกชั้นปีที่ 1 / ดุริยางค์ทหารเรือชั้นปีที่ 1,"Military/ Orchestra School,  first year"
322,32,ดุริยางค์ทหารบกชั้นปีที่ 2 / ดุริยางค์ทหารเรือชั้นปีที่ 2,"Military/ Orchestra School,  second year"
323,32,ดุริยางค์ทหารบกชั้นปีที่ 3 / ดุริยางค์ทหารเรือชั้นปีที่ 3,"Military/ Orchestra School, third year"
329,32,ไม่ทราบชั้นเรียน,Unknown Level
33,3,การศึกษาทางศาสนา : พุทธศึกษา พระปริยัติธรรม แผนกสามัญศึกษา,Religious Study : Buddhism (General)
330,33,ผู้สำเร็จหลักสูตร,Graduated Level
331,33,มัธยมศึกษาปีที่ 1,"Lower-secondary Level, first year"
332,33,มัธยมศึกษาปีที่ 2,"Lower-secondary Level, second year"
333,33,มัธยมศึกษาปีที่ 3,"Lower-secondary Level, third year"
339,33,ไม่ทราบชั้นเรียน,Unknown Level
34,3,การศึกษาทางศาสนา : พุทธศึกษา พระปริยัติธรรม แผนกบาลี,Religious Study : Buddhism (Bali)
340,34,ผู้สำเร็จหลักสูตร,Graduated Level
341,34,บาลีประโยค 1-2,Bali 1 - 2
342,34,เปรียญธรรมประโยค 3,Bali 3
349,34,ไม่ทราบชั้นเรียน,Unknown Level
35,3,การศึกษาทางศาสนา : อิสลามศึกษา แผนกสามัญศึกษา,Religious Study : Islamic (General)
350,35,ผู้สำเร็จหลักสูตร,Graduated Level
351,35,มัธยมศึกษาปีที่ 1,"Lower-secondary Level, first year"
352,35,มัธยมศึกษาปีที่ 2,"Lower-secondary Level, second year"
353,35,มัธยมศึกษาปีที่ 3,"Lower-secondary Level, third year"
359,35,ไม่ทราบชั้นเรียน,Unknown Level
4,,ระดับมัธยมศึกษาตอนปลาย,Upper Secondary Education
41,4,สามัญศึกษา,General Education
410,41,ผู้สำเร็จหลักสูตร,Graduated Level
411,41,มัธยมศึกษาปีที่ 4 / เกรด 10 / เตรียมทหารชั้นปีที่ 1,"Upper-secondary Level, first year"
412,41,มัธยมศึกษาปีที่ 5 / เกรด 11 / เตรียมทหารชั้นปีที่ 2,"Upper-secondary Level, second year"
413,41,มัธยมศึกษาปีที่ 6 / เกรด 12 / เตรียมทหารชั้นปีที่ 3 / การศึกษานอกโรงเรียน (กศน.) ระดับ 5,"Upper-secondary Level, third year"
419,41,ไม่ทราบชั้นเรียน,Unknown Level
42,4,อาชีวศึกษา,Upper-vocational Education
420,42,ผู้สำเร็จหลักสูตร,Graduated Level
421,42,ประกาศนียบัตรวิชาชีพ (ปวช.) ชั้นปีที่ 1,"Upper-vocational Level, first year"
422,42,ประกาศนียบัตรวิชาชีพ (ปวช.) ชั้นปีที่ 2,"Upper-vocational Level, second year"
423,42,ประกาศนียบัตรวิชาชีพ (ปวช.) ชั้นปีที่ 3,"Upper-vocational Level, third year"
429,42,ไม่ทราบชั้นเรียน,Unknown Level
43,4,การศึกษาทางศาสนา : พุทธศึกษา พระปริยัติธรรม แผนกสามัญศึกษา,Religious Study : Buddhism (General)
430,43,ผู้สำเร็จหลักสูตร,Graduated Level
431,43,มัธยมศึกษาปีที่ 4,"Upper-secondary Level, first year"
432,43,มัธยมศึกษาปีที่ 5,"Upper-secondary Level, second year"
433,43,มัธยมศึกษาปีที่ 6,"Upper-secondary Level, third year"
439,43,ไม่ทราบชั้นเรียน,Unknown Level
44,4,การศึกษาทางศาสนา : พุทธศึกษา พระปริยัติธรรม แผนกบาลี,Religious Study : Buddhism (Bali)
440,44,ผู้สำเร็จหลักสูตร,Graduated Level
441,44,เปรียญธรรมประโยค 4,Bali 4
442,44,เปรียญธรรมประโยค 5,Bali 5
443,44,เปรียญธรรมประโยค 6,Bali 6
449,44,ไม่ทราบชั้นเรียน,Unknown Level
45,4,การศึกษาทางศาสนา : อิสลามศึกษา แผนกสามัญศึกษา,Religious Study : Islamic (General)
450,45,ผู้สำเร็จหลักสูตร,Graduated Level
451,45,มัธยมศึกษาปีที่ 4,"Upper-secondary Level, first year"
452,45,มัธยมศึกษาปีที่ 5,"Upper-secondary Level, second year"
