"SocioEconClassKey","ParentSocioEconClassKey","ThaiSocioEconClassName","EnglishSocioEconClassName"
"0",,"ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ","Economically Inactive"
"01","0","ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ: บำเหน็จ บำนาญ เงินช่วยเหลือ","Economically Inactive: Receiving Assistance or Pensions"
"02","0","ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ: รายได้จากทรัพย์สิน","Economically Inactive: Property Income"
"03","0","ผู้ไม่ได้ปฏิบัติงานในเชิงเศรษฐกิจ: รายได้อื่น ๆ","Economically Inactive: Other Income"
"1",,"ผู้ทำการเกษตรและเพาะเลี้ยงสัตว์น้ำ ซึ่งที่ดินส่วนใหญ่ที่ถือครองเป็นของตนเอง","Farm Operator (Including Marine Culture) Who Mainly Owning Land"
"11","1","ผู้ทำการเกษตรและเพาะเลี้ยงสัตว์น้ำ ซึ่งที่ดินส่วนใหญ่ที่ถือครองเป็นของตนเอง: น้อยกว่า 2 ไร่","Farm Operator (Including Marine Culture) Who Mainly Owning Land: Less than 2 rais"
"12","1","ผู้ทำการเกษตรและเพาะเลี้ยงสัตว์น้ำ ซึ่งที่ดินส่วนใหญ่ที่ถือครองเป็นของตนเอง: 2 - 4 ไร่ 399 ตารางวา","Farm Operator (Including Marine Culture) Who Mainly Owning Land: 2 to 4 rais and 399 tarangwas"
"13","1","ผู้ทำการเกษตรและเพาะเลี้ยงสัตว์น้ำ ซึ่งที่ดินส่วนใหญ่ที่ถือครองเป็นของตนเอง: 5 - 9 ไร่ 399 ตารางวา","Farm Operator (Including Marine Culture) Who Mainly Owning Land: 5 to 9 rais and 399 tarangwas"
"14","1","ผู้ทำการเกษตรและเพาะเลี้ยงสัตว์น้ำ ซึ่งที่ดินส่วนใหญ่ที่ถือครองเป็นของตนเอง: 10 - 19 ไร่ 399 ตารางวา","Farm Operator (Including Marine Culture) Who Mainly Owning Land: 10 to 19 rais and 399 tarangwas"
"15","1","ผู้ทำการเกษตรและเพาะเลี้ยงสัตว์น้ำ ซึ่งที่ดินส่วนใหญ่ที่ถือครองเป็นของตนเอง: 20 - 39 ไร่ 399 ตารางวา","Farm Operator (Including Marine Culture) Who Mainly Owning Land: 20 to 39 rais and 399 tarangwas"
"16","1","ผู้ทำการเกษตรและเพาะเลี้ยงสัตว์น้ำ ซึ่งที่ดินส่วนใหญ่ที่ถือครองเป็นของตนเอง: 40 ไร่ขึ้นไป","Farm Operator (Including Marine Culture) Who Mainly Owning Land: 40 rais and over"
"2",,"ผู้ทำการเกษตรและเพาะเลี้ยงสัตว์น้ำ ซึ่งที่ดินส่วนใหญ่ที่ถือครองไม่ใช่ของตนเอง","Farm Operator (Including Marine Culture) Who Mainly Renting Land / Occupied Free"
