"ExpenditureKey","IOSectorKey","Share"
"EG0101",163,100
"EG0102",163,100
"EG0201",78,100
"EG0202",102,100
"EG0203",101,50
"EG0203",104,50
"EG0204",110,100
"EG0205",87,100
"EG0206",70,50
"EG0206",138,50
"EG0207",138,100
"EG0208",98,20
"EG0208",99,20
"EG0208",104,20
"EG0208",110,20
"EG0208",111,20
"EG0301",111,100
"EG0302",98,100
"EG0303",111,100
"EG0304",138,100
"EG0305",97,33
"EG0305",98,33
"EG0305",111,33
"EG0306",138,100
"EG0401",98,33
"EG0401",122,33
"EG0401",120,33
"EG0402",138,100
"EG0403",138,100
"EG05",108,54
"EG05",87,1
"EG05",78,1
"EG05",97,1
"EG05",98,1
"EG05",99,10
"EG05",100,10
"EG05",101,10
"EG05",104,10
"EG05",110,1
"EG05",111,1
"EG0601",80,50
"EG0601",109,50
"EG0602",80,33
"EG0602",98,33
"EG0602",109,33
"EG0603",80,50
"EG0603",109,50
"EG0604",73,100
"EG0605",80,50
"EG0605",109,50
"EG0606",80,50
"EG0606",109,50
"EG0701",119,100
"EG0702",119,100
"EG0703",119,100
"EG0704",119,100
"EG0705",119,100
"EG0706",119,100
"EG0801",119,100
"EG0802",119,100
"EG0901",116,100
"EG0902",116,100
"EG0903",116,100
"EG0904",116,100
"EG1001",116,100
"EG1002",116,100
"EG1003",119,100
"EG1004",116,100
"EG1101",119,100
"EG1102",119,100
"EG1103",122,100
"EG1104",73,14
"EG1104",116,14
"EG1104",119,14
"EG1104",122,14
"EG1104",80,14
"EG1104",109,14
"EG1104",98,14
"EG1201",177,100
"EG1202",177,100
"EG1301",70,100
"EG1302",73,100
"EG1303",70,100
"EG1304",73,50
"EG1304",70,50
"EG14",70,100
"EG1501",70,100
"EG1502",73,50
"EG1502",70,50
"EG1601",108,100
"EG1602",108,100
"EG1603",98,25
"EG1603",99,25
"EG1603",100,25
"EG1603",108,25
"EG1604",108,100
"EG1605",108,100
"EG1606",98,25
"EG1606",99,25
"EG1606",100,25
"EG1606",108,25
"EG1701",111,50
"EG1701",98,50
"EG1702",111,50
"EG1702",98,50
"EG1703",98,33
"EG1703",99,33
"EG1703",100,33
"EG1704",98,25
"EG1704",99,25
"EG1704",100,25
"EG1704",111,25
"EG18",135,100
"EG19",136,100
"EG20",136,100
"EG21",26,100
"EG22",93,100
"EG2301",100,50
"EG2301",122,50
"EG2302",122,100
"EG2303",121,100
"EG2304",92,100
"EG2305",91,25
"EG2305",92,25
"EG2305",121,25
"EG2305",122,25
"EG2401",137,100
"EG2402",137,100
"EG2501",134,100
"EG2502",134,100
"EG2503",134,100
"EG2601",89,100
"EG2602",89,100
"EG2603",89,100
"EG2604",89,100
"EG2605",89,100
"EG2701",89,100
"EG2702",89,100
"EG2703",89,100
"EG2704",85,100
"EG2705",89,100
"EG2706",89,50
"EG2706",111,50
"EG2707",98,100
"EG2708",166,100
"EG2709",163,5
"EG2709",164,5
"EG2709",166,5
"EG2709",138,5
"EG2709",135,5
"EG2709",137,5
"EG2709",170,35
"EG2709",177,35
"EG2710",166,50
"EG2710",178,50
"EG2801",178,100
"EG2802",178,50
"EG2802",164,50
"EG2901",178,50
"EG2901",171,50
"EG2902",171,50
"EG2902",169,44
"EG2902",178,5
"EG2902",164,1
"EG3001",71,20
"EG3001",72,80
"EG3002",71,20
"EG3002",72,80
"EG3003",71,20
"EG3003",72,80
"EG3004",71,20
"EG3004",72,80
"EG3005",71,20
"EG3005",72,80
"EG3006",71,20
"EG3006",72,80
"EG3007",71,20
"EG3007",72,80
"EG3008",71,20
"EG3008",72,80
"EG3009",71,20
"EG3009",72,80
"EG3010",71,20
"EG3010",72,80
"EG3011",71,20
"EG3011",72,80
"EG3012",71,20
"EG3012",72,80
"EG3013",71,20
"EG3013",72,80
"EG3014",71,20
"EG3014",72,80
"EG3015",71,20
"EG3015",72,80
"EG3016",71,20
"EG3016",72,80
"EG3017",71,20
"EG3017",72,80
"EG3018",71,20
"EG3018",72,80
"EG3019",71,20
"EG3019",72,80
"EG3020",71,20
"EG3020",72,80
"EG3021",71,20
"EG3021",72,80
"EG3022",71,20
"EG3022",72,80
"EG3023",71,20
"EG3023",72,80
"EG3024",71,20
"EG3024",72,80
