ExpenditureKey,ParentExpenditureKey,ThaiExpenditureName,EnglishExpenditureName,,
EF,,ค่าใช้จ่ายอาหาร เครื่องดื่ม และยาสูบ,"Expenditure on Food, Beverages and Tobacco",,
EF_1,EF,1. ข้าว แป้ง และอาหารที่ทำจากแป้ง,"1. Rice, Starch and Carbohydrate products",,
EF_2,EF,2. เนื้อสัตว์ และสัตว์ปีกทุกชนิด,2. Meat and Poultry,,
EF_3,EF,3. ปลาและสัตว์น้ำอื่น ๆ,3. Fishes and Seafood,,
EF_4,EF,4. อาหารประเภทนม เนย เนยแข็งและไข่,"4. Milk, Butter, Cheese and Eggs",,
EF_5,EF,5. น้ำมัน และ ไขมัน,5. Oil and Fat,,
EF_6,EF,6. ผลไม้ และ ถั่วเปลือกแข็ง,6. Fruits and Nuts,,
EF_7,EF,7. ผัก,7. Vegetables,,
EF_8,EF,8. น้ำตาล และ ขนมหวาน,8. Sugar and Sweets,,
EF_9,EF,9. เครื่องปรุงรส และ เครื่องเทศ,9. Spices and Condiments,,
EF_10,EF,10. เครื่องดื่มไม่มีแอลกอฮอล์ (บริโภคที่บ้าน),10. Non - alcoholic beverages (consumed at home),,
EF_11,EF,11. อาหารสำเร็จรูปที่ซื้อมา (บริโภคที่บ้าน),11. Prepared food  (consumed at home),,
EF_12,EF,12. อาหารและเครื่องดื่มที่ไม่มีแอลกอฮอล์,12. Food and Non-alcoholic beverages,,
EF_13,EF,13. เครื่องดื่มที่มีแอลกอฮอล์ (เช่น เบียร์ ไวน์ สุรา ฯลฯ),13. Alcoholic beverages,,
EF_14,EF,14. ยาสูบ  หมาก ยานัตถุ์และผลิตภัณฑ์ประเภทเดียวกัน,14. Tobacco products,,
EF01A,EF_1,1. ข้าว แป้ง และอาหารที่ทำจากแป้ง (ตัวเงิน),"1. Rice, Starch and Carbohydrate products (cash)",,
EF01BC,EF_1,1. ข้าว แป้ง และอาหารที่ทำจากแป้ง (สิ่งของ),"1. Rice, Starch and Carbohydrate products (in-kind)",,
EF0101A,EF01A,เส้นก๋วยเตี๋ยว / บะหมี่ (ตัวเงิน),Chinese noodle / Chinese egg noodle (cash),,
EF0101BC,EF01BC,เส้นก๋วยเตี๋ยว / บะหมี่ (สิ่งของ),Chinese noodle / Chinese egg noodle (in-kind),,
EF0102A,EF01A,เส้นขนมจีน (ตัวเงิน),Thai vermicelli (cash),,
EF0102BC,EF01BC,เส้นขนมจีน (สิ่งของ),Thai vermicelli (in-kind),,
EF0103A,EF01A,ขนมปังปอนด์ (ตัวเงิน),Bread (cash),,
EF0103BC,EF01BC,ขนมปังปอนด์ (สิ่งของ),Bread (in-kind),,
EF0104A,EF01A,ขนมอบ / เค้ก / ขนมที่ทำจากแป้งเป็นส่วนใหญ่ (ตัวเงิน),Bake dessert / cake / most of the ingredients (cash),,
EF0104BC,EF01BC,ขนมอบ / เค้ก / ขนมที่ทำจากแป้งเป็นส่วนใหญ่ (สิ่งของ),Bake dessert / cake / most of the ingredients (in-kind),,
EF0105A,EF01A,อาหารจากธัญพืช (ตัวเงิน),Cereal food (cash),,
EF0105BC,EF01BC,อาหารจากธัญพืช (สิ่งของ),Cereal food (in-kind),,
EF0106A,EF01A,ข้าวเจ้า (ข้าวสาร) (ตัวเงิน),Rice (cash),,
EF0106BC,EF01BC,ข้าวเจ้า (ข้าวสาร) (สิ่งของ),Rice (in-kind),,
EF0107A,EF01A,ข้าวเหนียว (ข้าวสาร) (ตัวเงิน),Glutinous rice (cash),,
EF0107BC,EF01BC,ข้าวเหนียว (ข้าวสาร) (สิ่งของ),Glutinous rice (in-kind),,
EF0108A,EF01A,แป้งข้าวเจ้า (ตัวเงิน),Rice flour (cash),,
EF0108BC,EF01BC,แป้งข้าวเจ้า (สิ่งของ),Rice flour (in-kind),,
EF0109A,EF01A,แป้งทอดกรอบ / แป้งอเนกประสงค์ (ตัวเงิน),Crispy Flour / All Purpose Flour (cash),,
EF0109BC,EF01BC,แป้งทอดกรอบ / แป้งอเนกประสงค์ (สิ่งของ),Crispy Flour / All Purpose Flour (in-kind),,
EF0110A,EF01A,แป้งสาลี  แป้งมันสำปะหลังและแป้งอื่น ๆ (ตัวเงิน),"Wheat, tapioca and other flours (cash)",,
EF0110BC,EF01BC,แป้งสาลี  แป้งมันสำปะหลังและแป้งอื่น ๆ (สิ่งของ),"Wheat, tapioca and other flours (in-kind)",,
EF0111A,EF01A,เส้นหมี่ (ตัวเงิน),Noodles (cash),,
EF0111BC,EF01BC,เส้นหมี่ (สิ่งของ),Noodles (in-kind),,
EF0112A,EF01A,วุ้นเส้น (ตัวเงิน),Vermicelli (cash),,
EF0112BC,EF01BC,วุ้นเส้น (สิ่งของ),Vermicelli (in-kind),,
EF0113A,EF01A,เต้าหู้ (ตัวเงิน),Soybean curd (cash),,
EF0113BC,EF01BC,เต้าหู้ (สิ่งของ),Soybean curd (in-kind),,
EF0114A,EF01A,สาคู และอาหารอื่น ๆ ที่ทำจากแป้ง (ระบุ) (ตัวเงิน),Sago and other flour foods (specify) (cash),,
EF0114BC,EF01BC,สาคู และอาหารอื่น ๆ ที่ทำจากแป้ง (ระบุ) (สิ่งของ),Sago and other flour foods (specify) (in-kind),,
EF02A,EF_2,2. เนื้อสัตว์ และสัตว์ปีกทุกชนิด (ตัวเงิน),2. Meat and Poultry (cash),,
EF02BC,EF_2,2. เนื้อสัตว์ และสัตว์ปีกทุกชนิด (สิ่งของ),2. Meat and Poultry (in-kind),,
EF0201A,EF02A,เนื้อหมูสด (ทุกประเภท ยกเว้นเครื่องใน) (ตัวเงิน),Fresh pork (all types except offal) (cash),,
EF0201BC,EF02BC,เนื้อหมูสด (ทุกประเภท ยกเว้นเครื่องใน) (สิ่งของ),Fresh pork (all types except offal) (in-kind),,
EF0202A,EF02A,เครื่องในหมูสด (ตัวเงิน),Fresh pork offal (cash),,
EF0202BC,EF02BC,เครื่องในหมูสด (สิ่งของ),Fresh pork offal (in-kind),,
EF0203A,EF02A,เนื้อวัว/ควาย สด (ทุกส่วน ยกเว้นเครื่องใน) (ตัวเงิน),Fresh beef/buffalo (all parts except offal) (cash),,
EF0203BC,EF02BC,เนื้อวัว/ควาย สด (ทุกส่วน ยกเว้นเครื่องใน) (สิ่งของ),Fresh beef/buffalo (all parts except offal) (in-kind),,
EF0204A,EF02A,เครื่องในวัว/ควาย สด (ตัวเงิน),Fresh cow/buffalo offal (cash),,
EF0204BC,EF02BC,เครื่องในวัว/ควาย สด (สิ่งของ),Fresh cow/buffalo offal (in-kind),,
EF0205A,EF02A,ไก่สด (ทุกส่วน รวมเครื่องใน) (ตัวเงิน),Fresh Chicken (all parts including offal) (cash),,
EF0205BC,EF02BC,ไก่สด (ทุกส่วน รวมเครื่องใน) (สิ่งของ),Fresh Chicken (all parts including offal) (in-kind),,
EF0206A,EF02A,เนื้อสัตว์อื่น ๆ (ตัวเงิน),Other meat (cash),,
EF0206BC,EF02BC,เนื้อสัตว์อื่น ๆ (สิ่งของ),Other meat (in-kind),,
EF0207A,EF02A,ไส้กรอกหมู/ไก่ (ตัวเงิน),Pork/chicken sausage (cash),,
EF0207BC,EF02BC,ไส้กรอกหมู/ไก่ (สิ่งของ),Pork/chicken sausage (in-kind),,
EF0208A,EF02A,หมูหยอง/ไก่หยอง (ตัวเงิน),Shredded pork/chicken (cash),,
EF0208BC,EF02BC,หมูหยอง/ไก่หยอง (สิ่งของ),Shredded pork/chicken (in-kind),,
EF0209A,EF02A,กุนเชียงหมู (ตัวเงิน),Chinese sausage (cash),,
EF0209BC,EF02BC,กุนเชียงหมู (สิ่งของ),Chinese sausage (in-kind),,
EF0210A,EF02A,ลูกชิ้นหมู/ไก่/เนื้อ (ตัวเงิน),Pork/chicken/beef meatballs (cash),,
EF0210BC,EF02BC,ลูกชิ้นหมู/ไก่/เนื้อ (สิ่งของ),Pork/chicken/beef meatballs (in-kind),,
EF0211A,EF02A,แหนม/หมูยอ/ไก่ยอ (ตัวเงิน),Sour pork / pork sausage / chicken sausage (cash),,
EF0211BC,EF02BC,แหนม/หมูยอ/ไก่ยอ (สิ่งของ),Sour pork / pork sausage / chicken sausage (in-kind),,
EF0212A,EF02A,เนื้อสัตว์ (แปรรูป)  อื่น ๆ (ระบุ) (ตัวเงิน),Other processed meat (specify) (cash),,
EF0212BC,EF02BC,เนื้อสัตว์ (แปรรูป)  อื่น ๆ (ระบุ) (สิ่งของ),Other processed meat (specify) (in-kind),,
EF03A,EF_3,3. ปลาและสัตว์น้ำอื่น ๆ (ตัวเงิน),3. Fishes and Seafood (cash),,
EF03BC,EF_3,3. ปลาและสัตว์น้ำอื่น ๆ (สิ่งของ),3. Fishes and Seafood (in-kind),,
EF0301A,EF03A,ปลาช่อน (ตัวเงิน),Snakehead (cash),,
EF0301BC,EF03BC,ปลาช่อน (สิ่งของ),Snakehead (in-kind),,
EF0302A,EF03A,ปลาดุก (ตัวเงิน),Catfish (cash),,
EF0302BC,EF03BC,ปลาดุก (สิ่งของ),Catfish (in-kind),,
EF0303A,EF03A,ปลานิล (ตัวเงิน),Nile tilapia (cash),,
EF0303BC,EF03BC,ปลานิล (สิ่งของ),Nile tilapia (in-kind),,
EF0304A,EF03A,ปลาทับทิม (ตัวเงิน),Tilapia (cash),,
EF0304BC,EF03BC,ปลาทับทิม (สิ่งของ),Tilapia (in-kind),,
EF0305A,EF03A,ปลาจะละเม็ด (ดำ/ ขาว) (ตัวเงิน),Pomfret (black/silver) (cash),,
EF0305BC,EF03BC,ปลาจะละเม็ด (ดำ/ ขาว) (สิ่งของ),Pomfret (black/silver) (in-kind),,
EF0306A,EF03A,ปลากะพง (แดง/ ขาว) (ตัวเงิน),Red snapper / giant seaperch (cash),,
EF0306BC,EF03BC,ปลากะพง (แดง/ ขาว) (สิ่งของ),Red snapper / giant seaperch (in-kind),,
EF0307A,EF03A,ปลาแดง (ตัวเงิน),SheatFish (cash),,
EF0307BC,EF03BC,ปลาแดง (สิ่งของ),SheatFish (in-kind),,
EF0308A,EF03A,ปลาทู/ปลาโอ/ปลาลัง (ตัวเงิน),Mackerel / tuna / crayfish (cash),,
EF0308BC,EF03BC,ปลาทู/ปลาโอ/ปลาลัง (สิ่งของ),Mackerel / tuna / crayfish (in-kind),,
EF0309A,EF03A,ปลาแซลมอน (ตัวเงิน),Salmon (cash),,
EF0309BC,EF03BC,ปลาแซลมอน (สิ่งของ),Salmon (in-kind),,
EF0310A,EF03A,ปลาสวาย/ปลาดอลลี่ (ตัวเงิน),Pangasius / Dolly fish (cash),,
EF0310BC,EF03BC,ปลาสวาย/ปลาดอลลี่ (สิ่งของ),Pangasius / Dolly fish (in-kind),,
EF0311A,EF03A,กุ้งก้ามกราม/กุ้งนาง (กุ้งน้ำจืด) (ตัวเงิน),Giant freshwater prawn (cash),,
EF0311BC,EF03BC,กุ้งก้ามกราม/กุ้งนาง (กุ้งน้ำจืด) (สิ่งของ),Giant freshwater prawn (in-kind),,
EF0312A,EF03A,กุ้งขาว (แวนนาไม) (ตัวเงิน),White shrimp (Vannamai) (cash),,
EF0312BC,EF03BC,กุ้งขาว (แวนนาไม) (สิ่งของ),White shrimp (Vannamai) (in-kind),,
EF0313A,EF03A,ปลาหมึกกล้วย (ตัวเงิน),Squid (cash),,
EF0313BC,EF03BC,ปลาหมึกกล้วย (สิ่งของ),Squid (in-kind),,
EF0314A,EF03A,หอยแครง (ตัวเงิน),Cockle (cash),,
EF0314BC,EF03BC,หอยแครง (สิ่งของ),Cockle (in-kind),,
EF0315A,EF03A,หอยลาย (ตัวเงิน),Undulated surf clam (cash),,
EF0315BC,EF03BC,หอยลาย (สิ่งของ),Undulated surf clam (in-kind),,
EF0316A,EF03A,หอยแมลงภู่ (ตัวเงิน),Green mussel (cash),,
EF0316BC,EF03BC,หอยแมลงภู่ (สิ่งของ),Green mussel (in-kind),,
EF0317A,EF03A,ปูทะเล (ตัวเงิน),Serrated mud crab (cash),,
EF0317BC,EF03BC,ปูทะเล (สิ่งของ),Serrated mud crab (in-kind),,
EF0318A,EF03A,ปูม้า (ตัวเงิน),Blue crab (cash),,
EF0318BC,EF03BC,ปูม้า (สิ่งของ),Blue crab (in-kind),,
EF0319A,EF03A,กบ/เขียด/อึ่งอ่าง (ตัวเงิน),Frog / Bullfrog (cash),,
EF0319BC,EF03BC,กบ/เขียด/อึ่งอ่าง (สิ่งของ),Frog / Bullfrog (in-kind),,
EF0320A,EF03A,สัตว์น้ำอื่น ๆ (ระบุ) (ตัวเงิน),Other aquatic animals (specify) (cash),,
EF0320BC,EF03BC,สัตว์น้ำอื่น ๆ (ระบุ) (สิ่งของ),Other aquatic animals (specify) (in-kind),,
EF0321A,EF03A,ปลาหมึกแห้ง (ตัวเงิน),Dried squid (cash),,
EF0321BC,EF03BC,ปลาหมึกแห้ง (สิ่งของ),Dried squid (in-kind),,
EF0322A,EF03A,ปลาสลิดแห้ง (ตัวเงิน),Dried snakeskin gourami (cash),,
EF0322BC,EF03BC,ปลาสลิดแห้ง (สิ่งของ),Dried snakeskin gourami (in-kind),,
EF0323A,EF03A,ปลาช่อนแห้ง (ตัวเงิน),Dried striped snake - head fish (cash),,
EF0323BC,EF03BC,ปลาช่อนแห้ง (สิ่งของ),Dried striped snake - head fish (in-kind),,
EF0324A,EF03A,ปลาทูเค็ม (ตัวเงิน),Salted chub mackerel (cash),,
EF0324BC,EF03BC,ปลาทูเค็ม (สิ่งของ),Salted chub mackerel (in-kind),,
EF0325A,EF03A,ปลาอินทรีย์เค็ม (ตัวเงิน),Salted spanish mackerel (cash),,
EF0325BC,EF03BC,ปลาอินทรีย์เค็ม (สิ่งของ),Salted spanish mackerel (in-kind),,
EF0326A,EF03A,ปลาหางแข็งเค็ม (ตัวเงิน),Salted trevally (cash),,
EF0326BC,EF03BC,ปลาหางแข็งเค็ม (สิ่งของ),Salted trevally (in-kind),,
EF0327A,EF03A,กุ้งแห้ง (ตัวเงิน),Dried shrimp (cash),,
EF0327BC,EF03BC,กุ้งแห้ง (สิ่งของ),Dried shrimp (in-kind),,
EF0328A,EF03A,ปูเค็ม (ตัวเงิน),Salted crab (cash),,
EF0328BC,EF03BC,ปูเค็ม (สิ่งของ),Salted crab (in-kind),,
EF0329A,EF03A,ลูกชิ้นปลา (ตัวเงิน),Fish balls (cash),,
EF0329BC,EF03BC,ลูกชิ้นปลา (สิ่งของ),Fish balls (in-kind),,
EF0330A,EF03A,ปลาร้า (ตัวเงิน),Fermented fish (cash),,
EF0330BC,EF03BC,ปลาร้า (สิ่งของ),Fermented fish (in-kind),,
EF0331A,EF03A,ปูอัด (ตัวเงิน),Crab sticks (cash),,
EF0331BC,EF03BC,ปูอัด (สิ่งของ),Crab sticks (in-kind),,
EF0332A,EF03A,ปลากระป๋อง (ตัวเงิน),Canned fish (cash),,
EF0332BC,EF03BC,ปลากระป๋อง (สิ่งของ),Canned fish (in-kind),,
EF0333A,EF03A,ปลาทูนึ่ง (ตัวเงิน),Steamed Mackerel (cash),,
EF0333BC,EF03BC,ปลาทูนึ่ง (สิ่งของ),Steamed Mackerel (in-kind),,
EF0334A,EF03A,สัตว์น้ำ (แปรรูป) อื่น ๆ (ระบุ) (ตัวเงิน),Other processed aquatic animals (specify) (cash),,
EF0334BC,EF03BC,สัตว์น้ำ (แปรรูป) อื่น ๆ (ระบุ) (สิ่งของ),Other processed aquatic animals (specify) (in-kind),,
EF04A,EF_4,4. อาหารประเภทนม เนย เนยแข็งและไข่ (ตัวเงิน),"4. Milk, Butter, Cheese and Eggs (cash)",,
EF04BC,EF_4,4. อาหารประเภทนม เนย เนยแข็งและไข่ (สิ่งของ),"4. Milk, Butter, Cheese and Eggs (in-kind)",,
EF0401A,EF04A,นมสด (ตัวเงิน),Fresh milk (cash),,
EF0401BC,EF04BC,นมสด (สิ่งของ),Fresh milk (in-kind),,
EF0402BC,EF04BC,นมโรงเรียนทุกประเภท (สิ่งของ),All types of school milk (in-kind),,
EF0403A,EF04A,นมเปรี้ยว/โยเกิร์ต (ตัวเงิน),Drinking yoghurt / Yoghurt (cash),,
EF0403BC,EF04BC,นมเปรี้ยว/โยเกิร์ต (สิ่งของ),Drinking yoghurt / Yoghurt (in-kind),,
EF0404A,EF04A,นมถั่วเหลือง (ตัวเงิน),Soybean milk (cash),,
EF0404BC,EF04BC,นมถั่วเหลือง (สิ่งของ),Soybean milk (in-kind),,
EF0405A,EF04A,ไข่ไก่ (ตัวเงิน),Hen eggs (cash),,
EF0405BC,EF04BC,ไข่ไก่ (สิ่งของ),Hen eggs (in-kind),,
EF0406A,EF04A,ไข่เป็ด (ตัวเงิน),Duck eggs (cash),,
EF0406BC,EF04BC,ไข่เป็ด (สิ่งของ),Duck eggs (in-kind),,
EF0407A,EF04A,ไข่เค็ม (ตัวเงิน),Salted eggs (cash),,
EF0407BC,EF04BC,ไข่เค็ม (สิ่งของ),Salted eggs (in-kind),,
EF0408A,EF04A,ไข่ชนิดอื่น ๆ (ระบุ) (ตัวเงิน),Other eggs (specify) (cash),,
EF0408BC,EF04BC,ไข่ชนิดอื่น ๆ (ระบุ) (สิ่งของ),Other eggs (specify) (in-kind),,
EF0409A,EF04A,นมข้นหวาน (ตัวเงิน),Sweetened condensed milk (cash),,
EF0409BC,EF04BC,นมข้นหวาน (สิ่งของ),Sweetened condensed milk (in-kind),,
EF0410A,EF04A,นมผง (ตัวเงิน),Milk powder (cash),,
EF0410BC,EF04BC,นมผง (สิ่งของ),Milk powder (in-kind),,
EF0411A,EF04A,ครีมเทียม (ตัวเงิน),Non - diary cream (cash),,
EF0411BC,EF04BC,ครีมเทียม (สิ่งของ),Non - diary cream (in-kind),,
