ExpenditureKey,ThaiExpenditureName,EnglishExpenditureName,ExpenditureGroup1Key,ThaiExpenditureGroup1Name,EnglishExpenditureGroup1Name,ExpenditureGroup2Key,ThaiExpenditureGroup2Name,EnglishExpenditureGroup2Name,ExpenditureGroup3Key,ThaiExpenditureGroup3Name,EnglishExpenditureGroup3Name,ExpenditureGroup4Key,ThaiExpenditureGroup4Name,EnglishExpenditureGroup4Name
EF0101A,เส้นก๋วยเตี๋ยว / บะหมี่ (ตัวเงิน),Chinese noodle / Chinese egg noodle (cash),EF0101A,เส้นก๋วยเตี๋ยว / บะหมี่ (ตัวเงิน),Chinese noodle / Chinese egg noodle (cash),EF01A,ข้าว แป้ง และอาหารที่ทำจากแป้ง (ตัวเงิน),"Rice, Starch and Carbohydrate products (cash)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0101BC,เส้นก๋วยเตี๋ยว / บะหมี่ (สิ่งของ),Chinese noodle / Chinese egg noodle (in-kind),EF0101BC,เส้นก๋วยเตี๋ยว / บะหมี่ (สิ่งของ),Chinese noodle / Chinese egg noodle (in-kind),EF01BC,ข้าว แป้ง และอาหารที่ทำจากแป้ง (สิ่งของ),"Rice, Starch and Carbohydrate products (in-kind)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0102A,เส้นขนมจีน (ตัวเงิน),Thai vermicelli (cash),EF0102A,เส้นขนมจีน (ตัวเงิน),Thai vermicelli (cash),EF01A,ข้าว แป้ง และอาหารที่ทำจากแป้ง (ตัวเงิน),"Rice, Starch and Carbohydrate products (cash)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0102BC,เส้นขนมจีน (สิ่งของ),Thai vermicelli (in-kind),EF0102BC,เส้นขนมจีน (สิ่งของ),Thai vermicelli (in-kind),EF01BC,ข้าว แป้ง และอาหารที่ทำจากแป้ง (สิ่งของ),"Rice, Starch and Carbohydrate products (in-kind)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0103A,ขนมปังปอนด์ (ตัวเงิน),Bread (cash),EF0103A,ขนมปังปอนด์ (ตัวเงิน),Bread (cash),EF01A,ข้าว แป้ง และอาหารที่ทำจากแป้ง (ตัวเงิน),"Rice, Starch and Carbohydrate products (cash)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0103BC,ขนมปังปอนด์ (สิ่งของ),Bread (in-kind),EF0103BC,ขนมปังปอนด์ (สิ่งของ),Bread (in-kind),EF01BC,ข้าว แป้ง และอาหารที่ทำจากแป้ง (สิ่งของ),"Rice, Starch and Carbohydrate products (in-kind)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0104A,ขนมอบ / เค้ก / ขนมที่ทำจากแป้งเป็นส่วนใหญ่ (ตัวเงิน),Bake dessert / cake / most of the ingredients (cash),EF0104A,ขนมอบ / เค้ก / ขนมที่ทำจากแป้งเป็นส่วนใหญ่ (ตัวเงิน),Bake dessert / cake / most of the ingredients (cash),EF01A,ข้าว แป้ง และอาหารที่ทำจากแป้ง (ตัวเงิน),"Rice, Starch and Carbohydrate products (cash)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0104BC,ขนมอบ / เค้ก / ขนมที่ทำจากแป้งเป็นส่วนใหญ่ (สิ่งของ),Bake dessert / cake / most of the ingredients (in-kind),EF0104BC,ขนมอบ / เค้ก / ขนมที่ทำจากแป้งเป็นส่วนใหญ่ (สิ่งของ),Bake dessert / cake / most of the ingredients (in-kind),EF01BC,ข้าว แป้ง และอาหารที่ทำจากแป้ง (สิ่งของ),"Rice, Starch and Carbohydrate products (in-kind)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0105A,อาหารจากธัญพืช (ตัวเงิน),Cereal food (cash),EF0105A,อาหารจากธัญพืช (ตัวเงิน),Cereal food (cash),EF01A,ข้าว แป้ง และอาหารที่ทำจากแป้ง (ตัวเงิน),"Rice, Starch and Carbohydrate products (cash)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0105BC,อาหารจากธัญพืช (สิ่งของ),Cereal food (in-kind),EF0105BC,อาหารจากธัญพืช (สิ่งของ),Cereal food (in-kind),EF01BC,ข้าว แป้ง และอาหารที่ทำจากแป้ง (สิ่งของ),"Rice, Starch and Carbohydrate products (in-kind)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
