ExpenditureKey,ParentExpenditureKey,ThaiExpenditureName,EnglishExpenditureName
EGA,,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EGA_1,EGA,ค่าใช้จ่ายเกี่ยวกับที่อยู่อาศัย,Expenditures on dwelling
EGA_2,EGA,ค่าใช้จ่ายเกี่ยวกับเครื่องแต่งบ้าน เครื่องใช้,"Expenditure on home furnishings, miscellaneous"
EGA_201,EGA_2,เครื่องแต่งบ้าน และบริภัณฑ์อื่น ๆ ,Home furnishings and equipment
EGA_202,EGA_2,สิ่งทอสำหรับใช้ในบ้าน ,Household textiles
EGA_203,EGA_2,เครื่องใช้สอยเบ็ดเตล็ดในบ้าน,Small household appliances 
EGA_204,EGA_2,ค่าเชื้อเพลิง แสงสว่าง และการใช้น้ำ,"Fuel, lighting and water supply"
EGA_205,EGA_2,ค่าใช้จ่ายเกี่ยวกับการทำความสะอาด ,Cleaning supplies
EGA_3,EGA,ค่าจ้างบุคคลที่ให้บริการแก่ครัวเรือน,Service workers in household
EGA_4,EGA,ค่าใช้จ่ายเกี่ยวกับผ้า เสื้อผ้า และเครื่องแต่งกาย,"Cloth, clothes and clothing material"
EGA_5,EGA,ค่าใช้จ่ายเกี่ยวกับรองเท้า,Footwears
EGA_6,EGA,ค่าใช้จ่ายส่วนบุคคล,Personal care
EGA_601,EGA_6,ของใช้ส่วนบุคคล,Personal supplies
EGA_602,EGA_6,ค่าบริการส่วนบุคคล,Personal services
EGA_7,EGA,ค่าเวชภัณฑ์และค่าตรวจรักษาพยาบาล,Medical and health care
EGA_701,EGA_7,ค่าซื้อยาและเวชภัณฑ์ต่าง ๆ,Medical and supplies
EGA_702,EGA_7,ค่ารักษาพยาบาล (คนไข้นอก),Medical expenses (outpatient)
EGA_703,EGA_7,ค่ารักษาพยาบาล (คนไข้ใน),Medical services (inpatients)
EGA_8,EGA,ค่าใช้จ่ายเกี่ยวกับการเดินทางและการสื่อสาร,Transportation and Communication
EGA_801,EGA_8,ค่าซื้อยานพาหนะ   ,Vehicles purchase
EGA_802,EGA_8,ค่าใช้จ่ายเกี่ยวกับยานพาหนะ,Vehicle repairing & Maintanance
EGA_803,EGA_8,ค่าใช้จ่ายในการเดินทางตามปกติ,Normal transportation
EGA_804,EGA_8,ค่าใช้จ่ายในการเดินทางโอกาสพิเศษและท่องเที่ยว,Special occasion travelling and tours
EGA_805,EGA_8,ค่าใช้จ่ายเกี่ยวกับการสื่อสาร  ,Communication  
EGA_9,EGA,ค่าใช้จ่ายเกี่ยวกับการศึกษา,Education expense
EGA_10,EGA,ค่าใช้จ่ายเกี่ยวกับการบันเทิง การอ่าน และกิจกรรมทางศาสนา,Recreation / Religious activity expense
EGA_1001,EGA_10,ค่าซื้ออุปกรณ์การบันเทิงและกีฬา,Recreation equipment and sports
