ExpenditureKey,ThaiExpenditureName,EnglishExpenditureName,ExpenditureGroup1Key,ThaiExpenditureGroup1Name,EnglishExpenditureGroup1Name,ExpenditureGroup2Key,ThaiExpenditureGroup2Name,EnglishExpenditureGroup2Name,ExpenditureGroup3Key,ThaiExpenditureGroup3Name,EnglishExpenditureGroup3Name,ExpenditureGroup4Key,ThaiExpenditureGroup4Name,EnglishExpenditureGroup4Name,ExpenditureGroup5Key,ThaiExpenditureGroup5Name,EnglishExpenditureGroup5Name
EG0101A,ค่าเช่าหรือค่าประเมินค่าเช่าที่อยู่อาศัย (ตัวเงิน),House rental payment / estimated value (cash),EG0101A,ค่าเช่าหรือค่าประเมินค่าเช่าที่อยู่อาศัย (ตัวเงิน),House rental payment / estimated value (cash),EG01A,ค่าเช่าหรือค่าประเมินค่าเช่าบ้านและที่ดิน (ตัวเงิน),Rent / Estimated rental value of house and land (cash),EGA_101,ค่าเช่าหรือค่าประเมินค่าเช่าบ้านและที่ดิน,Rent/ estimated rental value of house and land,EGA_1,ค่าใช้จ่ายเกี่ยวกับที่อยู่อาศัย,Expenditures on dwelling,EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG0101BC,ค่าเช่าหรือค่าประเมินค่าเช่าที่อยู่อาศัย (สิ่งของ),House rental payment / estimated value (in-kind),EG0101BC,ค่าเช่าหรือค่าประเมินค่าเช่าที่อยู่อาศัย (สิ่งของ),House rental payment / estimated value (in-kind),EG01BC,ค่าเช่าหรือค่าประเมินค่าเช่าบ้านและที่ดิน (สิ่งของ),Rent / Estimated rental value of house and land (in-kind),EGA_101,ค่าเช่าหรือค่าประเมินค่าเช่าบ้านและที่ดิน,Rent/ estimated rental value of house and land,EGA_1,ค่าใช้จ่ายเกี่ยวกับที่อยู่อาศัย,Expenditures on dwelling,EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG0102A,ค่าเช่าที่ดินหรือค่าประเมินค่าเช่าที่ดิน (ตัวเงิน),Land rental payment / estimated value (cash),EG0102A,ค่าเช่าที่ดินหรือค่าประเมินค่าเช่าที่ดิน (ตัวเงิน),Land rental payment / estimated value (cash),EG01A,ค่าเช่าหรือค่าประเมินค่าเช่าบ้านและที่ดิน (ตัวเงิน),Rent / Estimated rental value of house and land (cash),EGA_101,ค่าเช่าหรือค่าประเมินค่าเช่าบ้านและที่ดิน,Rent/ estimated rental value of house and land,EGA_1,ค่าใช้จ่ายเกี่ยวกับที่อยู่อาศัย,Expenditures on dwelling,EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG0102BC,ค่าเช่าที่ดินหรือค่าประเมินค่าเช่าที่ดิน (สิ่งของ),Land rental payment / estimated value (in-kind),EG0102BC,ค่าเช่าที่ดินหรือค่าประเมินค่าเช่าที่ดิน (สิ่งของ),Land rental payment / estimated value (in-kind),EG01BC,ค่าเช่าหรือค่าประเมินค่าเช่าบ้านและที่ดิน (สิ่งของ),Rent / Estimated rental value of house and land (in-kind),EGA_101,ค่าเช่าหรือค่าประเมินค่าเช่าบ้านและที่ดิน,Rent/ estimated rental value of house and land,EGA_1,ค่าใช้จ่ายเกี่ยวกับที่อยู่อาศัย,Expenditures on dwelling,EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG0201A,ค่าไม้ ไม้อัด และไม้เทียม (ตัวเงิน),Lumber / Plywood / Artificial wood (cash),EG0201A,ค่าไม้ ไม้อัด และไม้เทียม (ตัวเงิน),Lumber / Plywood / Artificial wood (cash),EG02A,ค่าซ่อมแซมบ้าน รวมค่าวัสดุก่อสร้างที่ใช้ (ตัวเงิน),"Repair of dwelling  (Including construction materials, (cash)",EGA_102,ค่าซ่อมแซมบ้าน รวมค่าวัสดุก่อสร้างที่ใช้ ,Repair of dwelling,EGA_1,ค่าใช้จ่ายเกี่ยวกับที่อยู่อาศัย,Expenditures on dwelling,EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG0201BC,ค่าไม้ ไม้อัด และไม้เทียม (สิ่งของ),Lumber / Plywood / Artificial wood (in-kind),EG0201BC,ค่าไม้ ไม้อัด และไม้เทียม (สิ่งของ),Lumber / Plywood / Artificial wood (in-kind),EG02BC,ค่าซ่อมแซมบ้าน รวมค่าวัสดุก่อสร้างที่ใช้ (สิ่งของ),"Repair of dwelling  (Including construction materials, (in-kind)",EGA_102,ค่าซ่อมแซมบ้าน รวมค่าวัสดุก่อสร้างที่ใช้ ,Repair of dwelling,EGA_1,ค่าใช้จ่ายเกี่ยวกับที่อยู่อาศัย,Expenditures on dwelling,EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG0202A,ค่าปูนซีเมนต์/ปูนผสมเสร็จ (ตัวเงิน),Cement / Ready-mixed concrete (cash),EG0202A,ค่าปูนซีเมนต์/ปูนผสมเสร็จ (ตัวเงิน),Cement / Ready-mixed concrete (cash),EG02A,ค่าซ่อมแซมบ้าน รวมค่าวัสดุก่อสร้างที่ใช้ (ตัวเงิน),"Repair of dwelling  (Including construction materials, (cash)",EGA_102,ค่าซ่อมแซมบ้าน รวมค่าวัสดุก่อสร้างที่ใช้ ,Repair of dwelling,EGA_1,ค่าใช้จ่ายเกี่ยวกับที่อยู่อาศัย,Expenditures on dwelling,EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG0202BC,ค่าปูนซีเมนต์/ปูนผสมเสร็จ (สิ่งของ),Cement / Ready-mixed concrete (in-kind),EG0202BC,ค่าปูนซีเมนต์/ปูนผสมเสร็จ (สิ่งของ),Cement / Ready-mixed concrete (in-kind),EG02BC,ค่าซ่อมแซมบ้าน รวมค่าวัสดุก่อสร้างที่ใช้ (สิ่งของ),"Repair of dwelling  (Including construction materials, (in-kind)",EGA_102,ค่าซ่อมแซมบ้าน รวมค่าวัสดุก่อสร้างที่ใช้ ,Repair of dwelling,EGA_1,ค่าใช้จ่ายเกี่ยวกับที่อยู่อาศัย,Expenditures on dwelling,EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG0203A,ค่าอิฐ/คอนกรีตบล๊อก/อิฐมวลเบา (ตัวเงิน),Brick / Concrete block / Lightweight concrete (cash),EG0203A,ค่าอิฐ/คอนกรีตบล๊อก/อิฐมวลเบา (ตัวเงิน),Brick / Concrete block / Lightweight concrete (cash),EG02A,ค่าซ่อมแซมบ้าน รวมค่าวัสดุก่อสร้างที่ใช้ (ตัวเงิน),"Repair of dwelling  (Including construction materials, (cash)",EGA_102,ค่าซ่อมแซมบ้าน รวมค่าวัสดุก่อสร้างที่ใช้ ,Repair of dwelling,EGA_1,ค่าใช้จ่ายเกี่ยวกับที่อยู่อาศัย,Expenditures on dwelling,EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG0203BC,ค่าอิฐ/คอนกรีตบล๊อก/อิฐมวลเบา (สิ่งของ),Brick / Concrete block / Lightweight concrete (in-kind),EG0203BC,ค่าอิฐ/คอนกรีตบล๊อก/อิฐมวลเบา (สิ่งของ),Brick / Concrete block / Lightweight concrete (in-kind),EG02BC,ค่าซ่อมแซมบ้าน รวมค่าวัสดุก่อสร้างที่ใช้ (สิ่งของ),"Repair of dwelling  (Including construction materials, (in-kind)",EGA_102,ค่าซ่อมแซมบ้าน รวมค่าวัสดุก่อสร้างที่ใช้ ,Repair of dwelling,EGA_1,ค่าใช้จ่ายเกี่ยวกับที่อยู่อาศัย,Expenditures on dwelling,EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG0204A,ค่าสังกะสี/เมทัลชีล (ตัวเงิน),Zinc / Metal sheet (cash),EG0204A,ค่าสังกะสี/เมทัลชีล (ตัวเงิน),Zinc / Metal sheet (cash),EG02A,ค่าซ่อมแซมบ้าน รวมค่าวัสดุก่อสร้างที่ใช้ (ตัวเงิน),"Repair of dwelling  (Including construction materials, (cash)",EGA_102,ค่าซ่อมแซมบ้าน รวมค่าวัสดุก่อสร้างที่ใช้ ,Repair of dwelling,EGA_1,ค่าใช้จ่ายเกี่ยวกับที่อยู่อาศัย,Expenditures on dwelling,EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG0204BC,ค่าสังกะสี/เมทัลชีล (สิ่งของ),Zinc / Metal sheet (in-kind),EG0204BC,ค่าสังกะสี/เมทัลชีล (สิ่งของ),Zinc / Metal sheet (in-kind),EG02BC,ค่าซ่อมแซมบ้าน รวมค่าวัสดุก่อสร้างที่ใช้ (สิ่งของ),"Repair of dwelling  (Including construction materials, (in-kind)",EGA_102,ค่าซ่อมแซมบ้าน รวมค่าวัสดุก่อสร้างที่ใช้ ,Repair of dwelling,EGA_1,ค่าใช้จ่ายเกี่ยวกับที่อยู่อาศัย,Expenditures on dwelling,EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
